id,name,description,price,image,category,sizes
c7,Velvet Crimson Tuxedo,Luxurious deep red velvet suit with satin lapels for high-end formal events.,550,/assets/clothes-7.webp,Suits,38R|40R|42R|44R
c8,Shadow Peacoat,Double-breasted wool blend coat with a high collar and decorative inner lining.,320,/assets/clothes-8.png,Outerwear,M|L|XL
c9,Performance Gym Shorts,"Lightweight, breathable athletic shorts designed for maximum mobility.",45,/assets/clothes-9.png,Bottoms,S|M|L|XL
c10,Onyx Turtleneck,"Slim-fit ribbed knit turtleneck, perfect for layering under blazers.",125,/assets/clothes-10.jpg,Tops,S|M|L
c11,Dusty Rose Oxford,"Classic button-down shirt in a soft rose hue, featuring a chest pocket and crisp collar.",65,/assets/clothes-11.jpeg,Tops,S|M|L|XL
c12,Midnight Linen Suit,Two-piece textured navy suit crafted from breathable linen for formal summer occasions.,380,/assets/clothes-12.jpeg,Suits,38R|40R|42R|44R
c13,Royal Navy Polo,Essential pique cotton polo shirt featuring the iconic red embroidered logo.,85,/assets/clothes-12.webp,Tops,S|M|L|XL|XXL
c14,Evergreen Expedition Parka,Heavyweight winter parka with a faux-fur trimmed hood and multiple utility pockets.,260,/assets/clothes-15.jpeg,Outerwear,M|L|XL|XXL
c15,Obsidian Chinos,"Tailored slim-fit chinos in a deep black finish, perfect for versatile daily wear.",90,/assets/clothes-17.jpeg,Bottoms,30|32|34|36
c16,Charcoal Double-Breasted Vest,"Sophisticated formal waistcoat with a six-button front, paired here with a navy base.",110,/assets/clothes-18.jpeg,Suits,S|M|L|XL
c17,Essential V-Neck Cardigan,Lightweight black knit cardigan with a classic button-through front and ribbed cuffs.,95,/assets/clothes-19.jpeg,Tops,S|M|L|XL
c18,Grey Plaid Blazer,Modern sports coat featuring a subtle check pattern and dual-button closure.,215,/assets/clothes-20.jpeg,Outerwear,38R|40R|42R|44R
c19,Yellow Pullover Hoodie,Heavyweight cotton blend hoodie offering a relaxed silhouette.,120,https://images.unsplash.com/photo-1556821840-3a63f95609a7?auto=format&fit=crop&q=80,Outerwear,S|M|L|XL
c20,Emerald Wrap Dress,Elegant midi-length wrap dress in a deep emerald green.,165,https://images.unsplash.com/photo-1620059551460-e8810c9d9d20?auto=format&fit=crop&q=80,Dresses,S|M|L
c21,Crimson Structured Dress,Bold structural crimson dress designed for statement appearances.,185,https://images.unsplash.com/photo-1496747611176-843222e1e57c?auto=format&fit=crop&q=80,Dresses,XS|S|M|L
c22,Blue Denim Jacket,Classic light wash denim jacket with silver hardware.,140,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?auto=format&fit=crop&q=80,Outerwear,S|M|L|XL
c23,Beige Ribbed Turtleneck,Cozy oversized turtleneck crafted from ethical wool blends.,85,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&q=80,Tops,S|M|L
c24,Patterned Silk Shirt,Retro-inspired geometric patterned shirt in pure silk.,210,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?auto=format&fit=crop&q=80,Tops,M|L|XL
c25,Long Sleeve Black Top,Form-fitting essential black crewneck long sleeve.,75,https://images.unsplash.com/photo-1503341455253-b2e723bb3dbb?auto=format&fit=crop&q=80,Tops,S|M|L
c26,Satin Pink Blouse,A gorgeous pastel pink blouse made from premium satin.,115,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&q=80,Tops,XS|S|M
c27,White Turtleneck Sweater,Crisp white fine-knit turtleneck for layering.,90,https://images.unsplash.com/photo-1582533561751-0bfab4cb3e05?auto=format&fit=crop&q=80,Tops,S|M|L|XL
c28,Orange Knit Beanie,Chunky knit vibrant orange beanie to keep out the cold.,45,https://images.unsplash.com/photo-1576871337622-98d48d1cf531?auto=format&fit=crop&q=80,Accessories,OS
c29,Tailored Rust Trousers,"High-waisted rust pants featuring a wide, relaxed leg.",135,https://images.unsplash.com/photo-1544005313-94ddf0286df2?auto=format&fit=crop&q=80,Bottoms,28|30|32|34
c30,Boxy White Tee,Heavyweight premium cotton t-shirt built to last.,45,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&q=80,Tops,S|M|L|XL|XXL
c31,Navy Track Jacket,Vintage styling with modern moisture-wicking fabric.,155,https://images.unsplash.com/photo-1509631179647-0177331693ae?auto=format&fit=crop&q=80,Outerwear,S|M|L
c32,Camel Trench Coat,A staple outerwear piece suitable for transitional weather.,345,https://images.unsplash.com/photo-1521119989659-a83eee488004?auto=format&fit=crop&q=80,Outerwear,S|M|L|XL
c33,Light Grey Cardigan,Soft blended knit open-front cardigan perfect for lounging.,85,https://images.unsplash.com/photo-1620012253295-c15bc3e65909?auto=format&fit=crop&q=80,Tops,S|M|L
c34,Slim Fit Black Jeans,Pitch black denim with minimal stretch to hold their shape.,110,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?auto=format&fit=crop&q=80,Bottoms,30|32|34|36
c35,Cream Casual Blouse,Lightweight and airy blouse ideal for business casual.,95,https://images.unsplash.com/photo-1618354691792-d1d42acfd860?auto=format&fit=crop&q=80,Tops,XS|S|M|L
c36,Olive Cargo Pants,Utilitarian olive cargo pants with reinforced stitching.,145,/assets/clothes-2.png,Bottoms,30|32|34|36
c37,Charcoal Beanie,Classic rib-knit beanie made from soft merino wool.,55,https://images.unsplash.com/photo-1576871337622-98d48d1cf531?auto=format&fit=crop&q=80,Accessories,OS
c38,Midnight Silk Pajamas,Luxurious pure silk sleepwear set for maximum comfort.,220,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?auto=format&fit=crop&q=80,Sleepwear,S|M|L|XL
pop1,Super Waxled Blue Colour,,58.56,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&q=80,Running,
pop2,Cowboy Style Black Night,,50.52,https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&q=80,New Trend,
pop3,Mini Shoes Blue Cartoon,,37.71,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&q=80,Tennis,
pop4,Air Retro Hi-Top,,27.35,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?auto=format&fit=crop&q=80,Lifestyle,
pop5,Velocity Runner Pro,,39.27,https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&q=80,Running,
pop6,Street Glide Boost,,32.41,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?auto=format&fit=crop&q=80,Basket,
pop7,Neon Future Step,,76.06,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?auto=format&fit=crop&q=80,Lifestyle,
pop8,Retro Court Classic,,80.02,https://images.unsplash.com/photo-1560769629-975ec94e6a86?auto=format&fit=crop&q=80,Basket,
pop9,Shadow Camo High,,72.3,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?auto=format&fit=crop&q=80,Tennis,
pop10,Urban Utility Mid,,84.81,https://images.unsplash.com/photo-1605348532723-67c010a300dc?auto=format&fit=crop&q=80,New Trend,
pop11,Sunset Gradient Zoom,,38.46,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&q=80,New Trend,
pop12,Thunder Bolt Ignite,,26.45,https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&q=80,Lifestyle,
pop13,Crimson Blaze Low,,45.11,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&q=80,Running,
pop14,Onyx Stealth Kicks,,78.88,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?auto=format&fit=crop&q=80,Lifestyle,
pop15,Phantom Force X,,85.66,https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&q=80,Basket,
pop16,Glacier Ice Tread,,34.22,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?auto=format&fit=crop&q=80,Running,
pop17,Midnight City Walker,,85.38,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?auto=format&fit=crop&q=80,Running,
pop18,Solar Flare Sprint,,27.64,https://images.unsplash.com/photo-1560769629-975ec94e6a86?auto=format&fit=crop&q=80,New Trend,
pop19,Lunar Eclipse Shift,,53.56,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?auto=format&fit=crop&q=80,Running,
pop20,Viper Strike Canvas,,36.14,https://images.unsplash.com/photo-1605348532723-67c010a300dc?auto=format&fit=crop&q=80,New Trend,
pop21,Y-400 Stealth Runner,,118.06,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&q=80,New Trend,
pop22,Neon Matrix High,,172.92,https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&q=80,Basket,
pop23,Cyberpunk Low Drop,,88.75,https://images.unsplash.com/photo-1584735175315-9d5df23860e6?auto=format&fit=crop&q=80,Lifestyle,
pop24,Gravity Defy Foam,,167.87,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?auto=format&fit=crop&q=80,Tennis,
pop25,Holographic Wave Kicks,,135.35,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?auto=format&fit=crop&q=80,Basket,
pop26,Lucid Dream Slip-On,,156.93,https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&q=80,Lifestyle,
pop27,Astro Glide Boost,,164.07,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?auto=format&fit=crop&q=80,Running,
pop28,Velvet Crush Sneaker,,187.58,https://images.unsplash.com/photo-1560769629-975ec94e6a86?auto=format&fit=crop&q=80,New Trend,
pop29,Titanium Core Edge,,104.87,https://images.unsplash.com/photo-1605348532723-67c010a300dc?auto=format&fit=crop&q=80,Running,
pop30,Shattered Glass Retro,,141.54,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?auto=format&fit=crop&q=80,Basket,
pop31,Plasma Surge X,,178.13,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?auto=format&fit=crop&q=80,Basket,
pop32,Obsidian Void Walker,,130.66,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&q=80,Basket,
pop33,Chrome Pulse Trainer,,100.62,https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&q=80,Running,
pop34,Inferno Core Hi-Top,,115.42,https://images.unsplash.com/photo-1584735175315-9d5df23860e6?auto=format&fit=crop&q=80,Lifestyle,
pop35,Nebula Stardust Pro,,160.58,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?auto=format&fit=crop&q=80,Running,
pop36,Quantum Shift V2,,106.17,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?auto=format&fit=crop&q=80,Basket,
pop37,Aurora Borealis Runner,,133.8,https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&q=80,Running,
pop38,Magma Tread Boots,,80.65,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?auto=format&fit=crop&q=80,Lifestyle,
pop39,Crystal Clear Sole,,119.74,https://images.unsplash.com/photo-1560769629-975ec94e6a86?auto=format&fit=crop&q=80,Running,
pop40,Zenith Peak Strider,,105.78,https://images.unsplash.com/photo-1605348532723-67c010a300dc?auto=format&fit=crop&q=80,Basket,
s1,Phantom Runner X,High-performance mesh running shoes with responsive foam cushioning.,140,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&q=80,Shoes,8|9|10|11|12
s2,Classic Cognac Brogues,Hand-finished genuine leather wingtip shoes with intricate perforated detailing.,185,https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11
s3,Urban Street High-Top,Retro-inspired canvas high-tops with a reinforced rubber toe cap.,95,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?auto=format&fit=crop&q=80,Shoes,8|9|10|11|12
s4,Arctic Trek Boots,Waterproof nubuck leather boots with thermal lining and deep-lug traction soles.,210,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&q=80,Shoes,9|10|11|12|13
s5,Minimalist White Sneaker,"Clean, low-profile leather sneakers designed for a versatile smart-casual look.",120,https://images.unsplash.com/photo-1605348532723-67c010a300dc?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s6,Midnight Suede Loafers,Slip-on suede loafers with a penny strap and flexible rubber sole.,155,https://images.unsplash.com/photo-1514989940723-e8e51635b782?auto=format&fit=crop&q=80,Shoes,8|9|10|11
s7,Volt Trail Blazers,Rugged trail running shoes with breathable uppers and aggressive grip for rocky terrain.,135,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?auto=format&fit=crop&q=80,Shoes,8|9|10|11|12
s8,Onyx Chelsea Boots,Sleek polished leather boots with elastic side panels and a pull tab.,195,https://images.unsplash.com/photo-1560769629-975ec94e6a86?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s9,Sandstorm Desert Boots,Classic suede chukka boots with a traditional crepe sole.,110,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?auto=format&fit=crop&q=80,Shoes,8|9|10|11
s10,Gravity Basketball Pro,Lightweight high-top basketball shoes with lateral support and impact protection.,165,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?auto=format&fit=crop&q=80,Shoes,9|10|11|12|13|14
s11,Titanium Cross-Trainers,Multi-purpose gym shoes with a flat stable base for weightlifting.,130,https://images.unsplash.com/photo-1597045566677-8cf032ed6634?auto=format&fit=crop&q=80,Shoes,8|9|10|11|12
s12,Harbor Boat Shoes,Hand-sewn leather boat shoes with non-marking siped outsoles.,90,https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11
s13,Obsidian Monk Straps,Double buckle leather monk straps for a sophisticated formal statement.,220,https://images.unsplash.com/photo-1511556532299-8f662fc26c06?auto=format&fit=crop&q=80,Shoes,8|9|10|11
s14,Aero Knit Slip-Ons,Ultralight breathable knit upper with a cushioned sock-like fit.,85,https://images.unsplash.com/photo-1549298916-b41d501d3772?auto=format&fit=crop&q=80,Shoes,6|7|8|9|10|11
s15,Vintage Suede Trainers,1970s inspired lifestyle sneakers with suede overlays and a gum sole.,105,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?auto=format&fit=crop&q=80,Shoes,8|9|10|11|12
s16,Summit Mountaineer,Professional grade climbing boots with crampon compatibility and GORE-TEX lining.,340,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&q=80,Shoes,9|10|11|12
s17,Carbon Skate Lows,Durable suede skate shoes with a thick vulcanized sole for board feel.,80,https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s18,Espresso Oxford Cap-Toe,Formal full-grain leather Oxfords with a polished cap-toe finish.,170,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?auto=format&fit=crop&q=80,Shoes,8|9|10|11|12
s19,Neon Rush Slides,Comfortable contoured athletic slides for post-workout recovery.,35,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&q=80,Shoes,S|M|L|XL
s20,Stealth Combat Boots,Tactical-inspired leather and nylon boots with heavy-duty side zippers.,190,https://images.unsplash.com/photo-1605348532723-67c010a300dc?auto=format&fit=crop&q=80,Shoes,8|9|10|11|12|13
s21,Aero Strider Pro,Extremely lightweight running shoe with carbon fiber plating.,75,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s22,Velocity Elite Trainer,Daily trainer featuring dual-density foam for max responsiveness.,212,https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s23,Lunar Hover Glide,Advanced shock-absorbing technology meets street-ready style.,177,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s24,Summit Tracker Low,Rugged trail shoe designed for intense off-road expeditions.,81,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s25,Titanium Core Lift,Flat-soled structural lifting shoe for heavy strength sessions.,158,https://images.unsplash.com/photo-1605348532723-67c010a300dc?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s26,HyperKnit Racer V2,Breathable seamless knit upper with rapid propulsion dynamics.,77,https://images.unsplash.com/photo-1514989940723-e8e51635b782?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s27,Neon Flux Zoom,High-visibility accents on a streamlined aerodynamic chassis.,153,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s28,Slate Urban Utility,Weather-resistant urban sneaker bridging functionality and fashion.,178,https://images.unsplash.com/photo-1560769629-975ec94e6a86?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s29,Midnight Trail Blazer,Aggressive lug patterns on a dark stealthy silhouette.,150,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s30,Aurora Wave Cushion,Sleek and modern lifestyle shoe offering extreme all-day comfort.,174,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s31,Vertex Precision Tech,Laser-cut precision detailing combined with extreme stability.,136,https://images.unsplash.com/photo-1597045566677-8cf032ed6634?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s32,Crimson Flash Sprint,Track spike speed elements translated for the urban asphalt.,97,https://images.unsplash.com/photo-1491553895911-0055eca6402d?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s33,Optic White Court,Classic court styling updated with modern memory foam tech.,145,https://images.unsplash.com/photo-1511556532299-8f662fc26c06?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s34,Slate Runner V3,The third iteration of our legendary minimalist running platform.,74,https://images.unsplash.com/photo-1549298916-b41d501d3772?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s35,Zero-G Comfort Walk,Ultra-plush cushioning giving the sensation of walking on air.,80,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s36,Cobalt Sky High-Top,Bold ankle support merged with striking high-top aesthetics.,116,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s37,Terra Grip Boots,Waterproof mid-cut boots with unbeatable multi-surface traction.,79,https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s38,Nimbus Cloud Strider,Breathable mesh overlays supporting an incredibly soft ride.,186,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s39,Quantum Energy React,Energy return capsules embedded deeply within the midsole core.,151,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
s40,Shadow Ops Tactical,Military-inspired durability with surprisingly lightweight agility.,96,https://images.unsplash.com/photo-1605348532723-67c010a300dc?auto=format&fit=crop&q=80,Shoes,7|8|9|10|11|12
sun1,Rounded Frames Black,,74.3,https://images.unsplash.com/photo-1511499767150-a48a237f0083?auto=format&fit=crop&q=80,Sunglasses,
sun2,Rounded Frames Blue,,107.48,https://images.unsplash.com/photo-1572635196237-14b3f281503f?auto=format&fit=crop&q=80,Sunglasses,
sun3,Rounded Frames Purple,,32.81,https://images.unsplash.com/photo-1473496169904-658ba7c21f7d?auto=format&fit=crop&q=80,Sunglasses,
sun4,Retro Aviator Gold,,62.88,https://images.unsplash.com/photo-1508296695146-257a814070b4?auto=format&fit=crop&q=80,Sunglasses,
sun5,Oversized Cat Eye tortoiseshell,,69.54,https://images.unsplash.com/photo-1582143419997-2a4c2847a9ff?auto=format&fit=crop&q=80,Sunglasses,
sun6,Geometric Hex Frames,,82.41,https://images.unsplash.com/photo-1577803645773-f96470509666?auto=format&fit=crop&q=80,Sunglasses,
